id,date_notification,acheteur,montant_eur,duree_mois,famille,objet,source_dataset,releve
202626001,2026-03-18,SYNDICAT MIXTE SARTHE NUMERIQUE,69550,21,territoire,Accmpgnt mise en oeuvre PCRS & jumeau numérique,decp-2022-marches-valides,2026-09-20
2026K26027,2026-03-02,CA DU COTENTIN,1600000,48,territoire,REALISATION D UN PCRS RASTER DE DONNEES SOCLE DE JUMEAU NUMERIQUE DE CALCUL DE POTENTIEL SOLAIRE ET PLATEFORME D HEBERGEMENT,decp-2022-marches-valides,2026-09-20
2025C2402000,2025-09-12,BEAUNE COTE ET SUD-COMMUNAUTE BEAUNE-CHAGNY-NOLAY,99000,36,réseau,Développement d'un jumeau numérique du réseau de la Communauté d'Agglomération Beaune Côte et Sud basé sur l'Intelligence Artificielle pour une meilleure gestion patrimoniale,decp-2022-marches-valides,2026-09-20
2025S00103,2025-08-26,METROPOLE NANTES METROPOLE,31510,6,territoire,Réalisation d'un jumeau numérique,decp-2022-marches-valides,2026-09-20
2880857,2025-07-08,ECOLE NATIONALE SUPERIEURE D'ARTS ET METIERS (ENSAM),98500,20,réseau,Réalisation d’un jumeau numérique du système CVC du Campus ENSAM Metz,decp-2022-marches-valides,2026-09-20
2025JUM-LOT 3,2025-05-14,TERRITOIRE D'ENERGIE ORNE (TE61),100000,48,territoire,ACQUISITION DE PRISE DE VUES OBLIQUES ET REALISATION D'UN JUMEAU NUMERIQUE TROIS DIMENSION (3D) ET DE SON CADASTRE SOLAIRE,decp-2022-marches-valides,2026-09-20
2025JUM-LOT 1,2025-05-14,TERRITOIRE D'ENERGIE ORNE (TE61),110000,48,territoire,ACQUISITION DE PRISE DE VUES OBLIQUES ET REALISATION D'UN JUMEAU NUMERIQUE TROIS DIMENSION (3D) ET DE SON CADASTRE SOLAIRE,decp-2022-marches-valides,2026-09-20
2025JUM-LOT 2,2025-05-14,TERRITOIRE D'ENERGIE ORNE (TE61),330000,48,territoire,ACQUISITION DE PRISE DE VUES OBLIQUES ET REALISATION D'UN JUMEAU NUMERIQUE TROIS DIMENSION (3D) ET DE SON CADASTRE SOLAIRE,decp-2022-marches-valides,2026-09-20
2821532,2025-04-25,UNIVERSITE DE BRETAGNE SUD (UBS),70000,8,industrie-recherche,INX Dans le cadre du CPER Industrie du Futur : Développement d’une plateforme régionale qui réponde aux enjeux de la digitalisation de l’industrie - Dispositif de production de pièces en tôles métalliques afin de générer une base de données expérimentales pour un jumeau numérique : conception mécanique et réalisation - Instrumentation et acquisition automatisée des données en entrée et en sortie,decp-2022-marches-valides,2026-09-20
2685499,2025-04-07,DIRECTION DE L'EVALUATION DE LA PERFORMANCE ET DES AFFAIRES FINANCIERES ET IMMOBILIERES (DPAFI),97500,12,industrie-recherche,Marché relatif au développement et à l'acquisition d'un jumeau numérique dynamique et objectivation de scène.,decp-2022-marches-valides,2026-09-20
